id,publication_PMID,publication_DOI,publication_URL,publications,summary_results,publication_type,days_to_publication_PCD,days_to_publication_CD,days_to_summary_PCD,days_to_summary_CD,days_reg_to_start,days_reg_to_CD,days_reg_to_PCD,days_reg_to_publ,is_CTgov,recruitmentStatus,is_multicentric,phase,main_sponsor,intervention_type,primary_completion_date,completion_date,publication_date,primary_completion_year,enrollment,masking,allocation,start_date,lead_or_facility,lead_cities,facility_cities,center_size
NCT00548899,25177258,10.1159/000363430,https://www.karger.com/Article/FullText/363430,TRUE,FALSE,Registry linked,1004,913,NA,NA,9,1500,1409,2413,yes,Completed,yes,Phase 2,Other,Drug,2011-09-01,2011-12-01,2014-06-01,2011,36,Open Label,NA,2007-11-01,facility,,Frankfurt Kiel Köln,No lead center
NCT00550004,21833720,10.1007/s00432-011-1005-1,https://link.springer.com/article/10.1007%2Fs00432-011-1005-1,TRUE,FALSE,Registry linked,720,659,NA,NA,-54,707,646,1366,yes,Terminated,yes,Phase 2,Industry,Drug,2009-08-01,2009-10-01,2011-07-22,2009,153,Double Blind,Randomized,2007-09-01,facility,,Dresden TU München,No lead center
NCT00550862,25500425,10.1053/j.gastro.2014.12.005,http://www.sciencedirect.com/science/article/pii/S0016508514015303?via%3Dihub,TRUE,TRUE,Registry linked,1958,1471,678,191,-26,1131,644,2602,yes,Completed,yes,Phase 2,Industry,Drug,2009-08-01,2010-12-01,2014-12-11,2009,165,Double Blind,Randomized,2007-10-01,facility,,Frankfurt Hamburg Hannover LMU München,No lead center
NCT00552981,21143077,NA,https://www.ncbi.nlm.nih.gov/pubmed/21143077,TRUE,FALSE,Registry linked,609,609,NA,NA,0,517,517,1126,yes,Completed,no,Not given,Other,Procedure,2009-04-01,2009-04-01,2010-12-01,2009,157,Open Label,Randomized,2007-11-01,lead,Berlin,,large
NCT00556608,21875678,10.1016/j.joca.2011.07.016,http://linkinghub.elsevier.com/retrieve/pii/S1063-4584(11)00230-5,TRUE,FALSE,Registry linked,776,472,NA,NA,-8,904,600,1376,yes,Completed,yes,Phase 4,Industry,Device,2009-07-01,2010-05-01,2011-08-16,2009,381,Double Blind,Randomized,2007-11-01,facility,,Aachen,No lead center
NCT00557921,20925534,10.1056/NEJMoa1007964,https://www.ncbi.nlm.nih.gov/pubmed/20925534?dopt=Abstract,TRUE,FALSE,Registry linked,339,339,NA,NA,19,720,720,1059,yes,Terminated,yes,Phase 3,Industry,Drug,2009-11-01,2009-11-01,2010-10-06,2009,5000,Double Blind,Randomized,2007-12-01,facility,,Berlin Hamburg Leipzig Lübeck Mainz Mannheim Regensburg Tübingen,No lead center
NCT00558311,21640651,10.1016/S1474-4422(11)70108-9,https://www.ncbi.nlm.nih.gov/pubmed/21640651?dopt=Abstract,TRUE,FALSE,Registry linked,336,336,NA,NA,-12,961,961,1297,yes,Completed,yes,Phase 3,Industry,Drug,2010-07-01,2010-07-01,2011-06-02,2010,1157,Double Blind,Randomized,2007-11-01,facility,,Berlin Bonn Erlangen Duisburg Frankfurt Hamburg Heidelberg LMU München TU München Regensburg,No lead center
NCT00559442,25803140,10.1089/ham.2014.1117,http://online.liebertpub.com/doi/10.1089/ham.2014.1117,TRUE,FALSE,Registry linked,1551,1339,NA,NA,-167,1324,1112,2663,yes,Completed,no,Not given,Other,Other,2010-12-01,2011-07-01,2015-03-01,2010,30,Open Label,NA,2007-06-01,lead,Heidelberg,,large
NCT00560794,22592608,10.1182/blood-2012-01-400515,www.bloodjournal.org/cgi/pmidlookup?view=long&pmid=22592608,TRUE,TRUE,Registry linked,988,-899,1939,52,43,2539,652,1640,yes,Completed,yes,Phase 2,Industry,Biological,2009-09-01,2014-11-01,2012-05-16,2009,21,Open Label,NA,2008-01-01,lead,Würzburg,Dresden Frankfurt Kiel Münster Ulm,small
NCT00567554,22257523,10.1016/S1470-2045(11)70397-7,http://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(11)70397-7/abstract,TRUE,FALSE,Registry linked,169,-1353,NA,NA,-64,2858,1336,1505,yes,Completed,no,Phase 3,Other,Drug,2011-08-01,2015-10-01,2012-01-17,2011,2600,Open Label,Randomized,2007-10-01,facility,,Frankfurt,No lead center
NCT00567736,22087222,10.1371/journal.pone.0026166,https://www.ncbi.nlm.nih.gov/pubmed/22087222,TRUE,FALSE,Registry linked,1041,1041,NA,NA,-125,394,394,1435,yes,Completed,no,Phase 3,Other,Drug,2009-01-01,2009-01-01,2011-11-08,2009,150,Double Blind,Randomized,2007-08-01,lead,Berlin,,large
NCT00568841,23308140,10.1371/journal.pone.0053081,https://www.ncbi.nlm.nih.gov/pubmed/23308140?dopt=Abstract,TRUE,FALSE,Registry linked,1130,1130,NA,NA,-65,727,727,1857,yes,Unknown status,no,Phase 2,Other,Drug,2009-12-01,2009-12-01,2013-01-04,2009,40,Open Label,NA,2007-10-01,lead,Köln,,large
NCT00571155,21909835,10.1007/s00701-011-1144-9,https://www.ncbi.nlm.nih.gov/pubmed/21909835,TRUE,FALSE,Registry linked,770,770,NA,NA,-9,600,600,1370,yes,Completed,no,Phase 4,Other,Drug,2009-08-01,2009-08-01,2011-09-10,2009,30,Open Label,Non-Randomized,2007-12-01,lead,Tübingen,,large
NCT00571168,25225424,10.1200/JCO.2013.55.0095,http://ascopubs.org/doi/10.1200/JCO.2013.55.0095,TRUE,FALSE,Registry linked,1384,1384,NA,NA,-892,1087,1087,2471,yes,Unknown status,no,Phase 3,Other,Drug,2010-12-01,2010-12-01,2014-09-15,2010,362,Double Blind,Randomized,2005-07-01,lead,Heidelberg,,large
NCT00574132,24450891,10.1056/NEJMoa1304839,https://www.ncbi.nlm.nih.gov/pubmed/24450891,TRUE,FALSE,Registry linked,601,601,NA,NA,-9,1635,1635,2236,yes,Completed,yes,Phase 3,Industry,Drug,2012-06-01,2012-06-01,2014-01-23,2012,1331,Double Blind,Randomized,2007-12-01,facility,,Freiburg Hamburg Regensburg Homburg Tübingen Ulm,No lead center
NCT00574873,22949154,NA,NA,TRUE,TRUE,Registry linked,765,-969,795,-939,50,2696,962,1727,yes,Completed,yes,Phase 3,Industry,Drug,2010-08-01,2015-05-01,2012-09-04,2010,502,Open Label,Randomized,2008-02-01,facility,,Berlin Dresden Hamburg Leipzig Mannheim TU München,No lead center
NCT00575146,24728273,10.3892/ijo.2014.2382,https://www.spandidos-publications.com/ijo/44/6/1843,TRUE,TRUE,Registry linked,1530,1530,1233,1233,-16,777,777,2307,yes,Completed,yes,Phase 1,Other,Dietary Supplement,2010-02-01,2010-02-01,2014-04-11,2010,20,Open Label,NA,2007-12-01,lead,Frankfurt Tübingen,,large
NCT00575588,24397584,10.1185/03007995.2014.880674,http://www.tandfonline.com/doi/abs/10.1185/03007995.2014.880674?journalCode=icmo20,TRUE,TRUE,Registry linked,1643,1278,374,9,-13,961,596,2239,yes,Completed,yes,Phase 3,Industry,Drug,2009-08-01,2010-08-01,2014-01-30,2009,891,Double Blind,Randomized,2007-12-01,lead,LMU München,,large
NCT00579657,21633074,10.3945/ajcn.110.004374,https://www.ncbi.nlm.nih.gov/pubmed/21633074,TRUE,FALSE,Registry linked,457,-761,NA,NA,-142,2019,801,1258,yes,Completed,yes,Not given,Other,Other,2010-03-01,2013-07-01,2011-06-01,2010,111,Open Label,Randomized,2007-08-01,lead,Berlin,Düsseldorf Tübingen,large
NCT00583661,22873533,10.1056/NEJMoa1014164,https://www.ncbi.nlm.nih.gov/pubmed/22873533?dopt=Abstract,TRUE,TRUE,Registry linked,708,252,511,55,-233,1442,986,1694,yes,Completed,yes,Not given,Industry,Device,2010-09-01,2011-12-01,2012-08-09,2010,48,Open Label,NA,2007-05-01,lead,Berlin,,large
NCT00583830,24560012,10.1016/j.cllc.2013.12.005,https://www.ncbi.nlm.nih.gov/pubmed/24560012?dopt=Abstract,TRUE,FALSE,Registry linked,1152,1060,NA,NA,-353,1139,1047,2199,yes,Completed,yes,Phase 2,Industry,Biological,2010-11-01,2011-02-01,2013-12-27,2010,111,Open Label,Randomized,2007-01-01,facility,,Berlin Magdeburg Mainz Mannheim,No lead center
NCT00598533,21768546,NA,NA,TRUE,FALSE,Registry linked,351,320,NA,NA,22,965,934,1285,yes,Completed,yes,Phase 4,Other,Device,2010-08-01,2010-09-01,2011-07-18,2010,3002,Single Blind,Randomized,2008-02-01,lead,TU München,,large
NCT00598611,23053062,10.2340/00015555-1434,https://www.ncbi.nlm.nih.gov/pubmed/23053062,TRUE,FALSE,Registry linked,1334,1334,NA,NA,-131,569,569,1903,yes,Completed,no,Phase 3,Other,Drug,2009-08-01,2009-08-01,2013-03-27,2009,29,Double Blind,Randomized,2007-09-01,lead,Berlin,,large
NCT00598637,23973699,NA,NA,TRUE,FALSE,Registry linked,354,201,NA,NA,-40,1849,1696,2050,yes,Completed,yes,Phase 4,Other,Device,2012-09-01,2013-02-01,2013-08-21,2012,650,Open Label,Randomized,2007-12-01,lead,TU München,,large
NCT00598676,2140065,10.1002/ccd.22823,http://onlinelibrary.wiley.com/doi/10.1002/ccd.22823/full,TRUE,FALSE,Registry linked,740,709,NA,NA,-131,447,416,1156,yes,Completed,yes,Phase 4,Other,Device,2009-03-01,2009-04-01,2011-03-11,2009,2600,Open Label,Randomized,2007-09-01,lead,TU München,,large
NCT00598715,24684757,10.1016/j.carrev.2014.02.001,http://www.sciencedirect.com/science/article/pii/S1553838914000475?via%3Dihub,TRUE,FALSE,Registry linked,1659,1659,NA,NA,-101,569,569,2228,yes,Completed,yes,Phase 4,Other,Device,2009-08-01,2009-08-01,2014-02-15,2009,450,Single Blind,Randomized,2007-10-01,lead,TU München,,large
NCT00599547,19812383,10.1182/blood-2009-07-234880,http://www.bloodjournal.org/content/114/26/5264.long?sso-checked=true,TRUE,FALSE,Registry linked,67,-55,NA,NA,-1897,690,568,635,yes,Completed,no,Phase 2,Other,Procedure,2009-08-01,2009-12-01,2009-10-07,2009,106,Open Label,NA,2002-11-01,lead,Hamburg,,large
NCT00600444,21412146,10.1097/SLA.0b013e318214ba21,http://journals.lww.com/annalsofsurgery/Abstract/2011/06000/Insertion_of_Totally_Implantable_Venous_Access.10.aspx,TRUE,FALSE,Registry linked,761,761,NA,NA,18,473,473,1234,yes,Completed,no,Not given,Other,Procedure,2009-05-01,2009-05-01,2011-06-01,2009,100,Open Label,Randomized,2008-02-01,lead,Heidelberg,,large
NCT00601510,23228190,10.1186/1471-2407-12-587,https://www.ncbi.nlm.nih.gov/pubmed/23228190?dopt=Abstract,TRUE,FALSE,Registry linked,709,344,NA,NA,-85,1437,1072,1781,yes,Completed,no,Phase 1,Other,Drug,2011-01-01,2012-01-01,2012-12-10,2011,38,Open Label,NA,2007-11-01,lead,TU München,,large
NCT00604331,21132310,10.1007/s00392-010-0261-4,https://www.ncbi.nlm.nih.gov/pubmed/21132310?dopt=Abstract,TRUE,FALSE,Registry linked,521,521,NA,NA,197,531,531,1052,yes,Completed,no,Phase 2,Other,Drug,2009-07-01,2009-07-01,2010-12-04,2009,8,Open Label,NA,2008-08-01,lead,Göttingen,,small
NCT00604357,26018348,10.1097/TP.0000000000000779,https://www.ncbi.nlm.nih.gov/pubmed/26018348?dopt=Abstract,TRUE,FALSE,Registry linked,1614,1217,NA,NA,319,1658,1261,2875,yes,Completed,no,Phase 3,Other,Drug,2011-07-01,2012-08-01,2015-12-01,2011,27,Open Label,Non-Randomized,2008-12-01,lead,Regensburg,,small
NCT00605748,23670880,10.1002/clc.22132,http://onlinelibrary.wiley.com/doi/10.1002/clc.22132/abstract;jsessionid=818786552FB049B44A99258D3004084F.f04t02,TRUE,FALSE,Registry linked,1442,1259,NA,NA,-48,683,500,1942,yes,Unknown status,no,Phase 4,Other,Procedure,2009-06-01,2009-12-01,2013-05-13,2009,212,Single Blind,Randomized,2007-12-01,lead,TU München,,large
NCT00605826,21420555,10.1016/S0140-6736(10)62297-0,http://www.sciencedirect.com/science/article/pii/S0140673610622970?via%3Dihub,TRUE,FALSE,Registry linked,473,-257,NA,NA,-526,1422,692,1165,yes,Unknown status,yes,Not given,Industry,Device,2009-12-01,2011-12-01,2011-03-19,2009,200,Double Blind,Randomized,2006-08-01,facility,,Erlangen,No lead center
NCT00610584,23420231,10.7326/0003-4819-158-4-201302190-00002,https://www.ncbi.nlm.nih.gov/pubmed/23420231?dopt=Abstract,TRUE,FALSE,Registry linked,690,690,NA,NA,64,1159,1159,1849,yes,Completed,no,Not given,Other,Procedure,2011-04-01,2011-04-01,2013-02-19,2011,422,Single Blind,Randomized,2008-04-01,lead,Berlin,,large
NCT00611910,21872918,10.1016/S0140-6736(11)61255-5,https://www.ncbi.nlm.nih.gov/pubmed/21872918,TRUE,FALSE,Registry linked,178,178,NA,NA,-70,1146,1146,1324,yes,Completed,yes,Phase 4,Other,Device,2011-03-01,2011-03-01,2011-08-26,2011,610,Open Label,Randomized,2007-11-01,lead,TU München,,large
NCT00612092,22595156,10.1016/j.jcmg.2011.12.017,http://www.sciencedirect.com/science/article/pii/S1936878X12002744?via%3Dihub,TRUE,FALSE,Registry linked,1229,1198,NA,NA,94,370,339,1568,yes,Unknown status,no,Phase 4,Other,Radiation,2009-01-01,2009-02-01,2012-05-14,2009,400,Double Blind,Randomized,2008-05-01,lead,TU München,,large
NCT00615264,24757230,NA,http://care.diabetesjournals.org/content/37/5/1392.long,TRUE,TRUE,Registry linked,608,486,1537,1415,-886,1427,1305,1913,yes,Completed,yes,Phase 3,Industry,Drug,2011-09-01,2012-01-01,2013-05-01,2011,457,Double Blind,Randomized,2005-09-01,lead,Giessen,,small
NCT00615732,21178832,10.1097/BRS.0b013e3181d51fca,https://www.ncbi.nlm.nih.gov/pubmed/21178832?dopt=Abstract,TRUE,FALSE,Registry linked,803,530,NA,NA,29,608,335,1138,yes,Completed,no,Not given,Other,Procedure,2009-01-01,2009-10-01,2011-03-15,2009,123,Open Label,Randomized,2008-03-01,lead,Berlin,,large
NCT00617175,23652522,NA,NA,TRUE,TRUE,Registry linked,524,462,273,211,26,1458,1396,1920,yes,Completed,yes,Phase 4,Industry,Device,2011-12-01,2012-02-01,2013-05-08,2011,1902,Single Blind,Randomized,2008-03-01,lead,Bonn,Aachen Rostock Homburg,large
NCT00618280,22160487,NA,NA,TRUE,FALSE,Registry linked,558,497,NA,NA,-38,905,844,1402,yes,Completed,yes,Phase 1/Phase 2,Other,Drug,2010-06-01,2010-08-01,2011-12-11,2010,101,Double Blind,Randomized,2008-01-01,lead,Düsseldorf,,small
NCT00618384,25173458,10.1007/s00280-014-2568-8,https://www.ncbi.nlm.nih.gov/pubmed/25173458,TRUE,FALSE,Registry linked,1218,1126,NA,NA,-38,1270,1178,2396,yes,Terminated,yes,Phase 2,Other,Drug,2011-05-01,2011-08-01,2014-08-31,2011,43,Open Label,Non-Randomized,2008-01-01,lead,Düsseldorf,Frankfurt Hamburg Mainz Tübingen Ulm,small
NCT00626717,26194634,10.1186/s12886-015-0070-7,https://bmcophthalmol.biomedcentral.com/articles/10.1186/s12886-015-0070-7,TRUE,FALSE,Registry linked,962,962,NA,NA,-203,1746,1746,2708,yes,Completed,no,Phase 2/Phase 3,Other,Procedure,2012-12-01,2012-12-01,2015-07-21,2012,30,Double Blind,Randomized,2007-08-01,lead,Freiburg,,large
NCT00627523,26501737,10.1111/cen.12968,http://onlinelibrary.wiley.com/doi/10.1111/cen.12968/abstract,TRUE,TRUE,Registry linked,724,724,283,283,-21,2109,2109,2833,yes,Completed,yes,Phase 3,Industry,Drug,2013-12-01,2013-12-01,2015-11-25,2013,43,Open Label,Randomized,2008-02-01,facility,,Erlangen,No lead center
NCT00627640,27942720,10.1001/jamaneurol.2016.4467,https://www.ncbi.nlm.nih.gov/pubmed/27942720?dopt=Abstract,TRUE,FALSE,Registry linked,1858,1798,NA,NA,354,1478,1418,3276,yes,Completed,yes,Phase 3,Industry,Drug,2012-01-01,2012-03-01,2017-02-01,2012,549,Double Blind,Randomized,2009-02-01,facility,,Berlin Göttingen Marburg Tübingen Ulm,No lead center
NCT00630812,22198974,10.1164/rccm.201109-1666OC,https://www.ncbi.nlm.nih.gov/pubmed/22198974?dopt=Abstract,TRUE,FALSE,Registry linked,636,422,NA,NA,187,978,764,1400,yes,Completed,yes,Phase 3,Industry,Drug,2010-04-01,2010-11-01,2011-12-28,2010,318,Double Blind,Randomized,2008-09-01,facility,,LMU München Tübingen,No lead center
NCT00630864,24101373,10.1007/s12265-013-9512-x,https://www.ncbi.nlm.nih.gov/pubmed/24101373?dopt=Abstract,TRUE,TRUE,Registry linked,1376,1376,1050,1050,95,674,674,2050,yes,Completed,yes,Phase 2,Industry,Drug,2010-01-01,2010-01-01,2013-10-08,2010,21,Open Label,NA,2008-06-01,facility,,Münster,No lead center
NCT00631371,24297945,NA,NA,TRUE,TRUE,Registry linked,610,-485,382,-713,33,2589,1494,2104,yes,Completed,yes,Phase 3,Industry,Drug,2012-04-01,2015-04-01,2013-12-02,2012,791,Open Label,Randomized,2008-04-01,facility,,Hamburg TU München,No lead center
NCT00634881,27862308,10.1111/ejh.12825,https://www.ncbi.nlm.nih.gov/pubmed/27862308?dopt=Abstract,TRUE,FALSE,Registry linked,2526,2526,NA,NA,-1593,660,660,3186,yes,Completed,yes,Phase 1/Phase 2,Other,Biological,2010-01-01,2010-01-01,2016-12-01,2010,13,Open Label,Non-Randomized,2003-11-01,lead,Köln,Heidelberg Mannheim,large
NCT00636181,21804670,10.5665/SLEEP.1166,https://www.ncbi.nlm.nih.gov/pubmed/21804670,TRUE,FALSE,Registry linked,883,883,NA,NA,-36,389,389,1272,yes,Completed,yes,Not given,Industry,Device,2009-03-01,2009-03-01,2011-08-01,2009,150,Double Blind,Randomized,2008-01-01,facility,,Berlin,No lead center
NCT00637169,23644995,10.1001/jama.2013.5555,https://www.ncbi.nlm.nih.gov/pubmed/23644995?dopt=Abstract,TRUE,FALSE,Registry linked,263,172,NA,NA,-461,1731,1640,1903,yes,Completed,yes,Phase 3,Other,Other,2012-09-01,2012-12-01,2013-05-22,2012,1201,Double Blind,Randomized,2006-12-01,lead,Tübingen,,large
NCT00639743,24716681,10.1056/NEJMoa1302097,https://www.ncbi.nlm.nih.gov/pubmed/24716681?dopt=Abstract,TRUE,FALSE,Registry linked,648,-417,NA,NA,-133,2636,1571,2219,yes,Unknown status,yes,Phase 3,Other,Drug,2012-07-01,2015-06-01,2014-04-10,2012,1005,Double Blind,Randomized,2007-11-01,lead,Göttingen,Freiburg,small
NCT00640679,24633406,10.1160/TH13-11-0900,https://www.ncbi.nlm.nih.gov/pubmed/24633406?dopt=Abstract,TRUE,FALSE,Registry linked,589,589,NA,NA,15,1598,1598,2187,yes,Terminated,yes,Phase 4,Other,Drug,2012-08-01,2012-08-01,2014-03-13,2012,782,Double Blind,Randomized,2008-04-01,lead,TU München,,large
NCT00640770,26777329,10.1016/j.jcin.2015.10.038 ,https://www.ncbi.nlm.nih.gov/pubmed/ 26777329?dopt=Abstract,TRUE,FALSE,Registry linked,1831,1831,NA,NA,-13,1023,1023,2854,yes,Completed,no,Phase 4,Industry,Device,2011-01-01,2011-01-01,2016-01-06,2011,200,Open Label,Randomized,2008-03-01,lead,Leipzig,,large
NCT00644059,21995388,10.1056/NEJMoa1010331,https://www.ncbi.nlm.nih.gov/pubmed/21995388?dopt=Abstract,TRUE,TRUE,Registry linked,560,438,553,431,-140,864,742,1302,yes,Completed,yes,Phase 3,Industry,Biological,2010-04-01,2010-08-01,2011-10-13,2010,4902,Single Blind,Randomized,2007-11-01,facility,,Mainz,No lead center
NCT00644826,25884452,10.1186/s12913-015-0817-0,https://www.ncbi.nlm.nih.gov/pubmed/25884452?dopt=Abstract,TRUE,FALSE,Registry linked,1859,1859,NA,NA,-207,705,705,2564,yes,Completed,yes,Not given,Other,Behavioral,2010-03-01,2010-03-01,2015-04-03,2010,336,Single Blind,Randomized,2007-09-01,lead,Halle Leipzig,,large
NCT00646334,23053458,10.1007/s00423-012-1009-6,https://link.springer.com/article/10.1007%2Fs00423-012-1009-6,TRUE,FALSE,Registry linked,763,763,NA,NA,-656,897,897,1660,yes,Completed,yes,Not given,Industry,Device,2010-09-01,2010-09-01,2012-10-03,2010,80,Double Blind,Randomized,2006-06-01,lead,Heidelberg Mannheim,,large
NCT00646412,26336510,10.1186/s13022-015-0014-1,https://www.ncbi.nlm.nih.gov/pubmed/26336510,TRUE,FALSE,Registry linked,1950,1858,NA,NA,98,859,767,2717,yes,Completed,no,Phase 1/Phase 2,Industry,Device,2010-05-01,2010-08-01,2015-09-02,2010,60,Single Blind,Randomized,2008-07-01,lead,LMU München,,large
NCT00647049,27476790,10.1016/S2352-3026(16)30050-3,https://www.ncbi.nlm.nih.gov/pubmed/27476790?dopt=Abstract,TRUE,FALSE,Registry linked,1169,1077,NA,NA,-450,1954,1862,3031,yes,Unknown status,no,Phase 2,Other,Drug,2013-05-01,2013-08-01,2016-07-13,2013,78,Open Label,Non-Randomized,2007-01-01,lead,Freiburg,Tübingen,large
NCT00647413,25456808,10.1016/j.ypmed.2014.10.016,https://www.ncbi.nlm.nih.gov/pubmed/25456808?dopt=Abstract,TRUE,FALSE,Registry linked,1600,1417,NA,NA,36,980,797,2397,yes,Unknown status,no,Not given,Other,Behavioral,2010-06-01,2010-12-01,2014-10-18,2010,6000,Open Label,Randomized,2008-05-01,lead,Greifswald,,small
NCT00650078,22562974,10.1136/annrheumdis-2011-201067,https://www.ncbi.nlm.nih.gov/pubmed/22562974,TRUE,TRUE,Registry linked,1100,1100,1280,1280,-27,399,399,1499,yes,Completed,yes,Phase 3,Industry,Drug,2009-05-01,2009-05-01,2012-05-05,2009,350,Double Blind,Randomized,2008-03-01,lead,Berlin,,large
NCT00650143,26709136,10.1016/j.ijcard.2015.11.180,https://www.ncbi.nlm.nih.gov/pubmed/26709136?dopt=Abstract,TRUE,FALSE,Registry linked,1094,729,NA,NA,-26,2075,1710,2804,yes,Unknown status,no,Phase 2/Phase 3,Other,Drug,2012-12-01,2013-12-01,2015-11-30,2012,174,Double Blind,Randomized,2008-03-01,lead,LMU München,,large
NCT00656136,22452896,10.1016/S1470-2045(12)70087-6,https://www.ncbi.nlm.nih.gov/pubmed/22452896?dopt=Abstract,TRUE,TRUE,Registry linked,-554,-554,-54,-54,-3,2006,2006,1452,yes,Completed,yes,Phase 3,Industry,Drug,2013-10-01,2013-10-01,2012-03-26,2013,585,Double-Blind,Randomized,2008-04-01,facility,,Hamburg Mainz Mannheim,No lead center
NCT00658437,25324973,10.1186/s40425-014-0027-z,https://www.ncbi.nlm.nih.gov/pubmed/25324973,TRUE,FALSE,Registry linked,1844,1571,NA,NA,-8,752,479,2323,yes,Completed,yes,Phase 2,Industry,Drug,2009-08-01,2010-05-01,2014-08-19,2009,31,Open Label,NA,2008-04-01,facility,,Berlin Hannover Kiel,No lead center
NCT00659789,24525316,10.1016/S1473-3099(13)70343-8,https://www.ncbi.nlm.nih.gov/pubmed/24525316?dopt=Abstract,TRUE,TRUE,Registry linked,1351,986,1877,1512,109,1143,778,2129,yes,Completed,yes,Phase 2,Industry,Drug,2010-06-01,2011-06-01,2014-02-11,2010,137,Double Blind,Randomized,2008-08-01,lead,Bonn,Berlin Hamburg Köln,large
NCT00660179,23984728,NA,NA,TRUE,TRUE,Registry linked,546,515,614,583,17,1448,1417,1963,yes,Completed,yes,Phase 3,Industry,Drug,2012-03-01,2012-04-01,2013-08-29,2012,742,Double Blind,Randomized,2008-05-01,facility,,Dresden Giessen Greifswald Hamburg Heidelberg Köln Leipzig Mainz Marburg LMU München Regensburg Homburg,No lead center
NCT00662714,23809507,NA,NA,TRUE,FALSE,Registry linked,572,572,NA,NA,-2420,1323,1323,1895,yes,Completed,yes,Phase 3,Other,Drug,2011-12-01,2011-12-01,2013-06-25,2011,73,Open Label,Randomized,2001-09-01,facility,,Düsseldorf Duisburg Heidelberg Mainz Homburg Tübingen Würzburg,No lead center
NCT00664638,19332353,NA,NA,TRUE,FALSE,Registry linked,-1495,-1495,NA,NA,-20,1836,1836,341,yes,Completed,yes,Not given,Industry,Device,2013-05-01,2013-05-01,2009-03-28,2013,45,Open Label,NA,2008-04-01,facility,,Düsseldorf Erlangen Leipzig Homburg,No lead center
NCT00664963,21622669,10.1093/eurheartj/ehr144,https://academic.oup.com/eurheartj/article-lookup/doi/10.1093/eurheartj/ehr144,TRUE,FALSE,Registry linked,451,420,NA,NA,-748,713,682,1133,yes,Completed,yes,Phase 4,Other,Device,2010-03-01,2010-04-01,2011-05-26,2010,130,Double Blind,Randomized,2006-04-01,facility,,Hamburg Tübingen,No lead center
NCT00665223,22071279,10.1016/S1474-4422(11)70233-2,https://www.ncbi.nlm.nih.gov/pubmed/22071279,TRUE,FALSE,Registry linked,159,159,NA,NA,-21,1135,1135,1294,yes,Completed,yes,Phase 3,Industry,Drug,2011-06-01,2011-06-01,2011-11-07,2011,437,Double Blind,Randomized,2008-04-01,facility,,Berlin Bochum Dresden TU München Münster Ulm,No lead center
NCT00667810,27176461,10.1186/s13195-016-0189-7,https://www.ncbi.nlm.nih.gov/pubmed/27176461?dopt=Abstract,TRUE,TRUE,Registry linked,1319,1015,386,82,38,1925,1621,2940,yes,Terminated,yes,Phase 3,Industry,Drug,2012-10-01,2013-08-01,2016-05-12,2012,901,Double Blind,Randomized,2008-06-01,facility,,Regensburg,No lead center
NCT00668759,21232669,10.1016/j.jacc.2010.07.046,https://www.ncbi.nlm.nih.gov/pubmed/21232669,TRUE,FALSE,Registry linked,474,443,NA,NA,-24,555,524,998,yes,Completed,yes,Phase 3,Industry,Drug,2009-10-01,2009-11-01,2011-01-18,2009,254,Double Blind,Randomized,2008-04-01,lead,Frankfurt,Berlin Bonn Göttingen,large
NCT00669227,20211323,10.1016/j.amjcard.2009.10.060,https://www.ncbi.nlm.nih.gov/pubmed/20211323?dopt=Abstract,TRUE,FALSE,Registry linked,438,438,NA,NA,-940,248,248,686,yes,Completed,no,Phase 2,Other,Other,2009-01-01,2009-01-01,2010-03-15,2009,42,Double Blind,Randomized,2005-10-01,lead,Ulm,,large
NCT00670254,27695824,10.1001/jama.2016.14799,http://jamanetwork.com/journals/jama/fullarticle/2565176,TRUE,FALSE,Registry linked,1188,1188,NA,NA,247,1920,1920,3108,yes,Completed,yes,Phase 3,Other,Drug,2013-08-01,2013-08-01,2016-11-01,2013,380,Double Blind,Randomized,2009-01-01,lead,Berlin Jena Leipzig,Aachen Bonn Dresden Freiburg Greifswald Halle Hamburg Kiel,large
NCT00670436,22511572,10.1002/ccd.24409,https://www.ncbi.nlm.nih.gov/pubmed/22511572,TRUE,FALSE,Registry linked,1164,-478,NA,NA,-88,2132,490,1654,yes,Completed,yes,Phase 2,Other,Device,2009-09-01,2014-03-01,2012-11-08,2009,48,Open Label,Non-Randomized,2008-02-01,lead,Ulm,,large
NCT00672334,23610561,10.1371/journal.pmed.1001426,https://www.ncbi.nlm.nih.gov/pubmed/23610561?dopt=Abstract,TRUE,FALSE,Registry linked,685,471,NA,NA,0,1340,1126,1811,yes,Terminated,yes,Phase 2/Phase 3,Other,Drug,2011-06-01,2012-01-01,2013-04-16,2011,350,Double Blind,Randomized,2008-05-01,lead,Berlin,,large
NCT00674700,22994348,10.1111/j.1365-2222.2012.04044.x,https://www.ncbi.nlm.nih.gov/pubmed/22994348/,TRUE,TRUE,Registry linked,1338,973,2549,2184,-218,636,271,1609,yes,Completed,Not given,Phase 2/Phase 3,Industry,Drug,2009-02-01,2010-02-01,2012-10-01,2009,509,Double Blind,Randomized,2007-10-01,lead,Berlin,,large
