number_new,number,drksId,pruefer,cities_lead,cities_lead_corrected,manual_validation_cities_lead,Publication identified in which step,publication_DOI,publication_URL,article_yes_no,publication_date,unsure_about_publ_yes_no,reason,other_comments,title,firstDrksPublishDate,startDate,startDate_plannedActual,studyEnd,intervention.category0,intervention.value0,intervention.category1,intervention.value1,intervention.category2,intervention.value2,address.type0,address.affiliation0,address.firstname0,address.lastname0,address.type1,address.affiliation1,address.firstname1,address.lastname1,targetSize,recruitmentStatus,investorInitiated,monoMultiCentric,publication.category0,publication.type0,publication.value0,publication.category1,publication.type1,publication.value1,publication.category2,publication.type2,publication.value2,publication.category3,publication.type3,publication.value3,publication.category4,publication.type4,publication.value4
322,85,DRKS00009914,HK,Erlangen,Erlangen,Erlangen,2,10.1007/s00234-017-1922-z,https://link.springer.com/article/10.1007/s00234-017-1922-z,no,06.09.2017,yes,"Ich würde die gefundene Publikation nicht zählen, da nur 54/80 Probanden berichtet werden und mir nicht klar ist, ob alle Outcomes berichtet werden (hierfür müsste man den Volltext noch chechen)",,Intraindividual cross-over comparison of Gadobutrol<br/>and Gadoterate enhanced combined DSC-MR-Perfusion and MRAngiography<br/>in patients with cerebrovascular disease,2016-01-21,2012/12/01,Actual,2016/01/14,Arm 1,"Patients receive 2 MRI brain examinations to assess cerebrovascular disease<br/>1. MRI with contrast agent Gadovist® (Gadobutrol, 1.0 M gadolinium chelate, Bayer Healthcare)<br/>2. MRI with contrast agent Dotarem® (Gadoterate, 0.5 M gadolinium chelate, Guerbet GmbH);<br/>The invervall between the 2 examinations is 12 h to 7 days.<br/>Both contrast agents are given intravenous with a dose of 0,1mmol/kg of BW via injector<br/>",Arm 2,"Patients receive 2 MRI brain examinations<br/><br/>1. MRI with contrast agent Dotarem® (Gadoterate, 0.5 M gadolinium chelate, Guerbet GmbH);<br/>2. MRI with contrast agent Gadovist® (Gadobutrol, 1.0 M gadolinium chelate, Bayer Healthcare)<br/>The invervall between the 2 examinations is 12 h to 7 days.<br/>Both contrast agents are given intravenous with a dose of 0,1mmol/kg of BW via injector",,,Primary Sponsor,Universitätsklinikum Erlangen,[---]*,[---]*,Contact for Scientific Queries,"Universitätsklinikum Erlangen, Abteilung Neuroradiologie",Arnd,Dörfler,80,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
323,86,DRKS00009915,HK,Erlangen,Erlangen,Erlangen,2,10.1259/bjr.20190543,https://www.birpublications.org/doi/abs/10.1259/bjr.20190543,yes,24.10.2019,no,,,"Prospective, open-label, two-arm, parallel-group, single center phase IV clinical trial to evaluate the diagnostic value of a Gadobutrol enhanced dynamic susceptibility perfusion MRI (DSC-MRP) and a non contrast arterial spin labeling perfusion MRI (ASL-MRP) in subjects with minor cognitive impairment or minor Alzheimer's disease compared to age matched mentally healthy subjects.",2016-01-22,2013/01/01,Actual,2016/01/14,Arm 1,40 Subjects with MCI or minor AD will undergo a single MRI study with two types of perfusion measurements: Gadobutrol enhanced DSC-MRP and ASL-MRP.,Arm 2,10 mentally healthy subjects will serve as a reference and will undergo a single MRI study with two types of perfusion measurements: Gadobutrol enhanced DSC-MRP and ASL-MRP.,,,Primary Sponsor,Universitätsklinikum Erlangen,[---]*,[---]*,Contact for Scientific Queries,"Universitätsklinikum Erlangen, Abteilung Neuroradiologie",Arnd,Dörfler,50,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
78,87,DRKS00010032,HK,Erlangen,Erlangen,Erlangen,0,,,no,,no,,,Positive Psychological Interventions Erlangen ,2016-02-22,2014/04/28,Actual,2014/08/07,Arm 1,"Positive psychological interventions (six mainly self-administered modules based on mindfulness, gratitude, strengths and positive emotions) plus treatment as usual (including medical treatment, single and group psychotherapy, gymnastic and athletic exercises, occupational therapy, and others) for a period of 2-3 weeks",Arm 2,"Treatment as usual (including medical treatment, single and group psychotherapy, gymnastic and athletic exercises, occupational therapy, and others) for a period of 2-3 weeks",,,Primary Sponsor,"Universitätsklinikum Erlangen, Psychiatrische und Psychotherapeutische Klinik",Bernd,Lenz,Contact for Scientific Queries,"Universitätsklinikum Erlangen, Psychiatrische und Psychotherapeutische Klinik",Bernd,Lenz,50,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
324,88,DRKS00010212,HK,Erlangen,Erlangen,Erlangen,2,10.2196/jmir.9293,https://www.jmir.org/2018/4/e136/,yes,23.04.2018,no,,,Online based self-help stress management program for students with feedback on demand,2016-05-12,2016/05/09,Actual,2017/01/30,Arm 1,"Intervention group: Online training consisting of 7 sessions within a time period of 7 weeks. Each session will be completed in approximately 45-60 minutes. Participants will train on a weekly basis. Participants receive feedback on demand via e-mail from an online coach. Four weeks after finishing the training, participants complete an additional booster session. Questionnaires are asked to be completed at pre- and posttest (7 weeks), as well as at 3 months follow up.",Arm 2,Waitlist control group: Participants obtain access to the same training as participants of the intervention group after a waiting time of 3 months. Questionnaires are asked to be completed at pre- and posttest as well as at 3 months follow up.,,,Primary Sponsor,"Friedrich-Alexander Universität Erlangen-Nürnberg, Lehrstuhl für Klinische Psychologie und Psychotherapie",David Daniel,Ebert (Ansprechpartner des Sponsors),Contact for Scientific Queries,"Friedrich-Alexander Universität Erlangen-Nürnberg, Lehrstuhl für Klinische Psychologie und Psychotherapie",David Daniel,Ebert (Ansprechpartner des Sponsors),150,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
425,89,DRKS00012769,HK,Erlangen,Erlangen,Erlangen,3,10.1037/ccp0000246 ,https://pubmed.ncbi.nlm.nih.gov/28857576/,yes,31.08.2017,no,,,Effectiveness of a smartphone intervention for the mitigation of depression. A randomized controlled trial. <br/><br/>,2017-08-15,2017/05/01,Actual,2017/07/18,Arm 1,Arm 1: The intervention group will play a gamified smartphone app utilizing techniques derived from cognitive bias modification and operant conditioning for a period of 14 days. ,Arm 2,Arm 2: Wait list control condition,,,Primary Sponsor,Friedrich-Alexander-University Erlangen-NurembergDepartment of Clinical Psychology and Psychotherapy,Matthias,Berking,Contact for Scientific Queries,Friedrich-Alexander-University Erlangen-NurembergDepartment of Clinical Psychology and Psychotherapy,Matthias,Berking,50,"Recruiting complete, follow-up complete",yes,Monocenter trial,Abstract,Abstract - Depressionsstudie.docx,Abstract ,,,,,,,,,,,,
79,90,DRKS00013047,HK,Erlangen,Erlangen,Erlangen,2,10.1186/s12871-017-0435-y ,https://pubmed.ncbi.nlm.nih.gov/29041920/,yes,17.10.2017,yes,"""preliminary data"" von 14/100 Patienten werden berichtet. ",,Intraoperative neuromonitoring of neurosurgical patients using a non-invasive tissue-photospectrometry technique ,2017-10-02,2013/10/04,Actual,2017/10/21,Arm 1,"A non-invasive combined Laser-Doppler-flowmeter and tissue-spectrophotometer is used in patients undergoing scheduled intracranial surgery (group 1) to record local cerebral microcirculation intraoperatively. At the same time, somatosensory evoked potentials (SEP) as an established neuromonitoring technique were measured.",Arm 2,"A non-invasive combined Laser-Doppler-flowmeter and tissue-spectrophotometer is used in patients which underwent neurosurgery in an emergency setting within 72 hours (group 2). Pathological changes of local cerebral microcirculation during intraoperative measurements are compared to changes of somatosensory evoked potentials (SEP), which are recorded at the same time.",,,Primary Sponsor,"Neurochirurgische Klinik, Universitätsklinikum Erlangen",Michael,Buchfelder,Contact for Scientific Queries,"Paracelsus-Klinik Osnabrück, Neurochirurgische Abteilung",Björn,Sommer,100,"Recruiting complete, follow-up complete",yes,Monocenter trial,trial protocol (mandatory for transfer to Studybox),O2C_Studienprotokoll.pdf,Studienprotokoll Intraoperatives vaskuläres Neuromonitoring,,,,,,,,,,,,
460,91,DRKS00005427,HK,Frankfurt,none,Fachhochochschule Frankfurt am Main,9,,,,,,,,Effects of Robot PARO on People after Stroke,2014-02-12,2014/02/14,Actual,2016/07/25,Arm 1,Study participants will receive in addition their therapy 6 single treatment over a period of 2 weeks on  Mon - Wed - Fri <br/>During a therapy unit (up to 30 minutes) the PARO robot technology is employed.,Arm 2,Study participants will receive in addition their therapy 6 single treatment over a period of 2 weeks on  Mon - Wed - Fri. During a therapy unit (up to 30 minutes) they receive a non-specific treatment as reading aloud.<br/><br/>,,,Primary Sponsor,Fachhochochschule Frankfurt am Main,Detlev,Buchholz,Contact for Scientific Queries,Universitätsspital Basel,Susanne ,Karner,80,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
325,92,DRKS00006277,HK,Frankfurt,Frankfurt,Frankfurt,2,10.1186/s12885-015-1600-7 ,https://europepmc.org/article/pmc/pmc4552264,yes,28.08.2015,no,,,Positive family history of colorectal cancer in a general practice setting,2014-07-21,2014/11/11,Actual,2016/01/31,Arm 1,"We want to evaluate the frequency of a family history of colorectal cancer (CRC) and advanced adenomas in 40-54 year old persons in a general practitioner (GP) setting and identify the variables (e.g. demographic,  genetic, epigenetic and proteomic biomarkers) that are associated with it. In addition, we want to detect informed decision, anxiety and regret with respect to screening. The health care assistant  in the general practice will contact eligible patients and complete the ""Network against colorectal cancer"" questionnaire. For those who have a positive family history the GP will provide family members related to CRC patients with adequate evidence-based information and describe prevention strategies. We plan to examine the participant´s family history of CRC in detail and further variables (e.g. demographics) associated with an increased risk will be collected. Additional 	stool 	and blood samples will be collected from study-participants who decide to undergo a colonoscopy (n~350) and analyzed in the German Cancer Research Center (DKZF) Heidelberg to see whether further relevant variables are associated with an increased risk of CRC<br/><br/>We expect that about 8,750 person in 50 general practices in Hesse will be asked, of those about 875 are expected to have a positive family history of colorectal cancer. Of those, we expect around 350 persons to follow the invitation to have a colonoscopy.",,,,,Primary Sponsor,Institut für Allgemeinmedizin; Goethe Universität Frankfurt,Andrea ,Siebenhofer-Kroitzsch,Contact for Scientific Queries,"Institut für Allgemeinmedizin, Goethe Universität Frankfurt",Andrea,Siebenhofer-Kroitzsch,8750,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Siebenhofer A, Plath J, Taubenroth M, Singer S, Hechtner M, Dahlhaus A, et al. Positive family history of colorectal cancer in a general practice setting [FRIDA.Frankfurt]: study protocol of a of a cross-sectional study. BMC Cancer. 2015;15:605.",Paper,[---]*,"Plath J, Siebenhofer A, Koné I, Hechtner M, Schulz-Rothe S, Beyer M, Gerlach FM, Guethlin C; Frequency of a positive family history of colorectal cancer in general practice: a cross-sectional study. Fam Pract 2017; 34 (1): 30-35. ",,,,,,,,,
326,93,DRKS00010011,HK,Frankfurt,Frankfurt,Frankfurt,2,10.4329/wjr.v8.i6.628,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919763/,yes,28.06.2016,no,,,Does therapist’s attitude affect clinical outcome of lumbar facet joint injections?,2016-02-10,2015/04/17,Actual,2015/12/31,Arm 1,Experimental group: Routine CT-guided lumbar facet joint injection and a post-procedural conversation with the physician. This includes the demonstration of four standard CT images of the performed therapy.,Arm 2,Control group: Routine CT-guided lumbar facet joint injection without a post-procedural conversation.,,,Primary Sponsor,"Klinikum der Johann Wolfgang Goethe-Universität Frankfurt am Main, IDIR,",Adel,Maataoui,Contact for Scientific Queries,"Klinikum der Johann Wolfgang Goethe-Universität Frankfurt am Main, IDIR,",Adel,Maataoui,40,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
426,94,DRKS00010623,HK,Frankfurt,Frankfurt,Frankfurt,3,10.1371/journal.pone.0185463,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5630131/,yes,06.10.2016,yes,"In dieser Publikation werden Ergebnisse von 20 anstatt 45 Patienten berichtet (44%). Sonst stimmt zwar alles, aber die Diskrepanz ist sehr groß. Ich schlage dennoch vor die Publikation zu zählen, da es keine „Zwischenergebnisse“ sind. ",,Investigation of the autonomic regulation of delayed onset muscle soreness,2016-06-08,2016/04/29,Actual,2016/07/15,Arm 1,"Preventive blockade of the sympathetic nervous system: immediately prior to the induction of DOMS, volunteers receive the injection of 4-5ml local anaesthetic (procaine) at the stellate ganglion",Arm 2,"Rehabilitative blockade of the sympathetic nervous system: immediately after the induction of DOMS, volunteers receive the injection of 4-5ml local anaesthetic (procaine) at the stellate ganglion",Arm 3,"sham control: prior to the induction of DOMS, volunteers receive a sham injection, i.e. palpation of the injection site at the stellate ganglion and faked injection with a secured needle (patients head covered in all groups)",Primary Sponsor,Goethe-Universität Frankfurt,[---]*,[---]*,Contact for Scientific Queries,"Abteiulung für Sportmedizin,Institut für SportwissenschaftenGoethe-Universität Frankfurt",Johannes,Fleckenstein,45,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
80,95,DRKS00010655,HK,Frankfurt,Frankfurt,Frankfurt,0,,,no,,no,,,Physical activity to improve attention and concentratuion after sleep loss,2016-06-21,2016/06/20,Actual,2016/06/21,Arm 1,physical activity the morning after sleep loss prior to assessments,Arm 2,control: no physical activity the morning after sleep loss,,,Primary Sponsor,Goethe-Universität Frankfurt,[---]*,[---]*,Contact for Scientific Queries,"Abteilung für Sportmedizin,Institut für SportwissenschaftenGoethe-Universität Frankfurt",Johannes,Fleckenstein,22,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
327,96,DRKS00012863,HK,Frankfurt,Frankfurt,Frankfurt,2,10.1111/jcpe.13110,https://onlinelibrary.wiley.com/doi/abs/10.1111/jcpe.13110,yes,13.04.2019,no,,,Open flap debridement and guided tissue regeneration after 20 years in infrabony defects,2017-08-03,2017/07/25,Actual,2017/12/12,Arm 1,"Open flap debridement: supportive periodontal therapy (SPT), patient information and consent form for use of all evaluated data (including measurement of CO level of exhalation air and bone sounding in all operated sites).",Arm 2,"Guided tissue regeneration (GTR): supportive periodontal therapy (SPT), patient information and consent form for use of all evaluated data (including measurement of CO level of exhalation air and bone sounding in all operated sites).",,,Primary Sponsor,"Poliklinik für Parodontologie, Zentrum für Zahn-, Mund- und Kieferheilkunde der Johann Wolfgang-Goethe Universität Frankfurt am Main",[---]*,[---]*,Contact for Scientific Queries,"Poliklinik für Parodontologie, Zentrum für Zahn-, Mund- und Kieferheilkunde der Johann Wolfgang-Goethe Universität Frankfurt am Main",Hari,Petsos,16,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Petsos, H., Ratka-Kruger, P., Neukranz, E., Raetzke, P., Eickholz, P. & Nickles, K. (2019). Infrabony defects 20 years after open flap debridement and guided tissue regeneration. J Clin Periodontol, 46, 552-563. doi:10.1111/jcpe.13110.",,,,,,,,,,,,
427,97,DRKS00000582,HK,Freiburg,Freiburg,Freiburg,3,10.1038/leu.2016.334,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5383936/,yes,09.12.2016,no,,,Methotrexate-based Chemo-immunotherapy Followed by Maintenance Therapy for Patients > 65 Years With Central Nervous System (CNS)-Lymphoma (PRIMAIN),2010-10-29,2010/10/09,Actual,2015/05/06,Arm 1," day -6:		Rituximab 375mg/m²<br/>	<br/>R-MPL <br/>-	day 1, 15, 29		Rituximab 375mg/m²<br/>-	day 2, 16, 30		MTX 3000 mg/m²  4h i.v.<br/>-				Leukovorinrescue 24h after start of MTX<br/>-	day 2:		Lomustin 110 mg/m² p.o.<br/>-	day 2 - 11:		Procarbazin 60 mg/m² p.o.<br/>		repeat day 43, in total 3 cycles<br/><br/>maintenance:	<br/>-	from day 43 after the last cycle of R-MPL<br/>-	Tag 1-5		Procarbazin 100mg abs. p.o./day<br/>			repeat day 29<br/>			in total 6 cycles ",,,,,Primary Sponsor,Universitätsklinikum Freiburg<br/>- vertreten durch:<br/>Leitenden Ärztlichen Direktor,[---]*,[---]*,Contact for Scientific Queries,Universitätsklinikum Freiburg<br/>Innere Medizin - Hämatologie / Onkologie	,Gerald,Illerhaus,112,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
230,98,DRKS00000655,HK,Freiburg,Freiburg,Freiburg,1,10.1016/j.pec.2012.10.004 ,https://pubmed.ncbi.nlm.nih.gov/23127897/,yes,03.11.2012,no,,,Development and evaluation of a patient education intervention to improve health literacy (HL) for patients with chronic illness<br/>,2011-01-21,2012/04/01,Actual,2014/05/31,Arm 1,"Intervention group: health education intervention to improve health literacy for patients with chronic illness (low back pain, arthritis) added to clinics' standard health education program",Arm 2,Historical control group: no supplementary health education intervention to improve health literacy,,,Primary Sponsor,Universitätaklinikum Freiburg Institut für Qualitätsmanagement und Sozialmedizin,[---]*,[---]*,Contact for Scientific Queries,Universitätsklinikum Freiburg Institut für Qualitätsmanagement und Sozialmedizin,Erik,Farin-Glattacker,500,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Nagl M, Ullrich A, Farin E. Verständlichkeit von Patientenschulungen in der orthopädischen Rehabilitation: Qualitative Erhebung bei Rehabilitanden und Schulungsleitern. Die Rehabilitation 2013, 52:34–39.",Paper,[---]*,"Farin, E, Nagl, M, Ullrich, A. The comprehensibility of health education programs: Questionnaire development and results in patients with chronic musculoskeletal diseases. Patient Education and Counseling 2013, 90(2):239–246.",Paper,[---]*,"Farin, E, Nagl, M, Ullrich, A. Health education literacy in patients with chronic musculoskeletal diseases: Development of new questionnaire and sociodemographical predictors. Health Educ Res 2013, 28(6):1080-1091.",Paper,[---]*," Ullrich A, Schöpf AC, Nagl M, Farin E. „Aktiv in der Reha“: Entwicklung und formative Evaluation einer Patientenschulung zur Förderung der Gesundheitskompetenz von chronisch Kranken. Die Rehabilitation.2015, 54: 109-115.",Paper,[---]*,"Schöpf AC, Ullrich A, Nagl M, Farin E (im Druck). Group health education in inpatient rehabilitation: Patients’ role perceptions. Health Education Journal. "
328,99,DRKS00000697,HK,Freiburg,Freiburg,Freiburg,2,10.1055/s-0037-1618584,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0037-1618584,yes,02.02.2018,no,,,COSTA - Closure of median sternotomy in high-risk patients with the sternal talon system,2011-01-19,2008/12/01,Actual,2014/05/02,Arm 1,Closure of median sternotomy by Sternal Talon,Arm 2,closure of median sternotomy by wires,,,Primary Sponsor,Gebrüder Martin GmbH & Co. KG ,[---]*,[---]*,Contact for Scientific Queries,Universitätsklinikum Freiburg<br/>Chirurgie - Herz - und Gefäßchirurgie,Stefan,Sorg,250,"Recruiting complete, follow-up complete",no,Multicenter trial,Paper,COSTA_publikation.pdf,The COSTA Study: Sternal Closure in High-Risk Patients - A Prospective Randomized Multicenter Trial,,,,,,,,,,,,
81,100,DRKS00000802,HK,Freiburg,Freiburg,Freiburg,0,,,no,,no,,,A prospective randomized Trial to evaluate the Complication rate and patients´ comfort using three different vascular closure strategies following coronary angiography.,2011-05-10,2011/05/03,Actual,2017/03/07,Arm 1,manual kompression with a following pressure bandage<br/>,Arm 2,"internal closure system (ExoSeal, Cordis)",Arm 3,"external compression adhesive dressing (Safeguard, Maquet)<br/>",Primary Sponsor,HBK-Kliniken SingenAkademisches Lehrkrankenhaus der Universitätsklinikum Freiburg,Marc,Kollum,Contact for Scientific Queries,"HBK-Kliniken Singen, Akademisches Lehrkrankenhaus des Universitätsklinikum Freiburg",Marc,Kollum,600,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
82,101,DRKS00002698,HK,Freiburg,Freiburg,,0,,,no,,no,,,Effect of Polyhexanid (Lavanid) on the incidence of surgical side infections in colorectal surgery,2013-11-06,2011/02/22,Actual,2015/03/31,Arm 1,<br/>Wound irrigation before the end of surgery with the polyhexanide (LAVANID) solution,Arm 2,Wound irrigation before the end of surgery compared with placebo (Ringer's solution),,,Primary Sponsor,Uniklinik Freiburg,[---]*,[---]*,Contact for Scientific Queries,"Uniklinik Freiburg, Chirurgische Klinik",Hannes,Neeff,500,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
83,102,DRKS00003094,HK,Freiburg,Freiburg,,0,,,no,,no,,,Improving self-regulation in patients with chronic disease,2011-06-09,2011/07/01,Actual,2014/06/30,Arm 1,tailored information on illness and treatment that consider patients’ beliefs about their illness and its treatment (During inpatient rehabilitation <br/>physicians and psychologists will inform patients about their illness and treatment at the beginning and at the end of rehabilitation. Altogether this will take about 1h.),,,,,Primary Sponsor,"Universitätsklinikum Freiburg, Abteilung Qualitätsmanagement und Sozialmedizin",Manuela,Glattacker,Contact for Scientific Queries,"Universitätsklinikum Freiburg, Abteilung Qualitätsmanagement und Sozialmedizin",Manuela,Glattacker,560,"Recruiting complete, follow-up complete",yes,Multicenter trial,Paper,[---]*,"Glattacker, M., Heyduck, K., Nagl, M., & Jakob, T. (2016). Entwicklung des Fragebogens „Krankheitsbewältigung – Ziele und Bewertung“ und erste psychometrische Prüfung bei Patienten mit chronischen Rückenschmerzen. Die Rehabilitation, 55, 12-18. doi: 10.1055/s-0041-109057",Trial results,[---]*,"Heyduck, K., Jakob, T. & Glattacker, M. (2015). Improving self-regulation of patients with chronic diseases: A Common Sense Model-based intervention. EHPS 2015 Abstracts, The European Health Psychologist, Vol. 17 Supp., p. 532 (29th Conference of the European Health Psychology Society, 03.09.2015, Limassol, Cyprus). doi: 10.13140/RG.2.1.2216.7522",,,,,,,,,
231,103,DRKS00003117,HK,Freiburg,Freiburg,Freiburg,1,10.1186/s13195-017-0247-9,https://link.springer.com/article/10.1186/s13195-017-0247-9#article-info,yes,23.03.2017,no,,,The effects of structured Relearning methods on Daily Living task performance of persons with Dementia - the multi-site randomised controlled REDALI-DEM trial,2011-05-31,2012/04/23,Actual,2016/11/30,Arm 1,10 weeks with 12 sessions a 60 min task training using the method of active learning. The patient is allowed to make mistakes and to take initiative for correction. 2 weeks with 3 refresher sessions a 60 min before the follow-up measurement in week 16.,Arm 2,Task training with the same intensitiy using the method of guided learning. The therapist intervenes and repeatedly demonstrates the correct performance before the patient can make a mistake.,,,Primary Sponsor,Universitätsklinikum Freiburg,[---]*,[---]*,Contact for Scientific Queries,"Zentrum für Geriatrie und Gerontologie Freiburg, Universitätsklinikum Freiburg",Sebastian,Voigt-Radloff,175,"Recruiting complete, follow-up complete",yes,Multicenter trial,Paper,[---]*,"1.	Voigt-Radloff S, Leonhart R, Rikkert MO, Kessels R, Hüll M. Study protocol of the multi-site randomised controlled REDALI-DEM trial--the effects of structured relearning methods on daily living task performance of persons with dementia. BMC Geriatr. 2011 Aug 18;11:44.",Paper,[---]*,"2.	de Werd MM, Boelen D, Rikkert MG, Kessels RP. Errorless learning of everyday tasks in people with dementia. Clin Interv Aging. 2013;8:1177-90.",Paper,[---]*,"3.	de Werd MM, Hoelzenbein AC, Boelen DH, Rikkert MG, Hüell M, Kessels RP, Voigt-Radloff S. Interrater Reliability and Con-current Validity of a New Rating Scale to Assess the Perfor-mance of Everyday Life Tasks in Dementia: The Core Elements Method. Am J Alzheimers Dis Other Demen. 2016 Jun 14.",Paper,[---]*,"4.	Voigt-Radloff S, de Werd MM, Leonhart R, Boelen DH, Olde Rikkert MGM, Fliessbach K, Klöppel S, Heimbach B, Fellgiebel A, Dodel R, Eschweiler GW, Hausner L, Kessels RPC, Hüll M. Structured relearning of activities of daily living in dementia – the randomized controlled REDALI-DEM trial on errorless learning. Accepted in Feb. 2017 at Alzheimer Research & Therapy (AZRT-D-16-00115R2). ",,,
329,104,DRKS00003132,HK,Freiburg,Freiburg,Freiburg,2,10.1007/s00234-016-1693-y,https://link.springer.com/article/10.1007/s00234-016-1693-y,yes,30.04.2016,no,,,GREAT - a randomised aneurysm trial,2011-07-06,2009/10/01,Actual,2016/05/02,Arm 1,Endovascular coil embolisation with Hydrosoft coils,Arm 2,Endovascular coil embolisation with bare platinum coils,,,Primary Sponsor,Klinik für Neuroradiologie<br/>Neurozentrum<br/>Universitätsklinikum Freiburg,Christian,Taschner,Contact for Scientific Queries,Klinik für Neuroradiologie<br/>Neurozentrum<br/>Universitätsklinikum Freiburg,Christian,Taschner,500,"Recruiting complete, follow-up complete",yes,Multicenter trial,Further trial documents,GREAT_trial design.pdf,GREAT trial design,Trial results,GREAT_baseline results.pdf,GREAT baseline results,,,,,,,,,
232,105,DRKS00003159,HK,Freiburg,Freiburg,Freiburg,1,10.1111/jocn.12766,https://onlinelibrary.wiley.com/doi/abs/10.1111/jocn.12766,yes,07.02.2015,no,,,Effect of an education and counselling programme on self-care and care dependency in patients with heart failure,2011-07-25,2011/04/05,Actual,2014/01/02,Arm 1,"Intervention group:<br/>Patient will receive an education/counselling session during hospitalisation or their attendance at the outpatient heart failure clinic. After discharge a telephone follow-up will be initiated over a period of three months.<br/>Intervention will be performed by a master-degree prepared nurse (nursing science) with extensive experience in caring for patients with heart failure.<br/>During the education/counselling session information about following topics will be provided: (1) the physiology of the circulation system, (2) the pathophysiology of heart failure with a special focus on fluid retention and its impact, (3) possible signs and symptoms of worsening heart failure, (4)  medication, (5) measures to recognize worsening heart failure early on (daily control of weight, blood pressure, heart beat, oedema, signs/symptom of HF), (6) travelling with HF, (7) lifestyle changes (exercise, food, fluid restriction, smoking cessation, exercise) and (8) other issues which were coming up during the session. <br/>In addition the patient will receive a patient booklet about HF published by the German Competence Network Heart Failure (CNHF) and a diary in which he is advised to document body weight, blood pressure, heart rate, oedema on a daily basis and if necessary any kind of noticeable problems which could be related to HF. <br/>If desired the patient will receive information about a cardiac support group located near the hospital, a sport group for patient with cardiac diseases near the domicile of the patient and the URL of the web side for heart failure patients of the European Society of Cardiology (www.heartfailurematters.org).<br/>After discharge from hospital the patient will receive four telephone calls within three months (1, 4, 8 and 12 weeks after discharge). During these telephone calls the patient will be asked about body weight, blood pressure, heart beat, oedema, fluid restriction, any signs of worsening heart failure, changes in medical treatment and rehospitalisation. In case of any signs of needs for improvement regarding self-care behaviours the education content of the specific topic will be repeated.<br/>",Arm 2,Controll group: Care as usual,,,Primary Sponsor,Universitäts-Herzzentrum Freiburg-Bad KrozingenPflegedirektion,Stefan,Köberich,Contact for Scientific Queries,Universitäts-Herzzentrum Freiburg-Bad KrozingenPflegedirektion,Stefan,Köberich,128,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Köberich, S.; Lohrmann, C.; Mittag, O.; Dassen, T. (2015): Effect of a hospital-based education programme on self-care behavior, care dependency and quality of life in patients with heart failure – a randomized controlled trial. J Clin Nurs doi: 10.1111/jocn.12766 ",,,,,,,,,,,,
