nct_id;cities_lead;brief_title;official_title;study_first_submitted_date;start_date;start_date_type;completion_date;completion_date_type;PI_name;PI_affiliation;interventions;overall_status;phase;enrollment;enrollment_type;were_results_reported
NCT02343029;Frankfurt;Physical Activity and Cerebral Metabolism in the Elderly: a Randomised Controlled Trial;Physical Activity and Cerebral Metabolism in the Elderly: a Randomised Controlled Trial;2015-01-12;2014-06-30;;2015-08-31;Actual;Johannes Pantel, Prof.;Institute of General Practice, Goethe University, Frankfurt/Main, Germany;Individualised aerobic exercise training | Waiting Control;Completed;N/A;60;Actual;FALSE
NCT02342509;Bochum;Automated Control of End-tidal Volatile Anesthetic Concentration;Automated Control of End-tidal Volatile Anesthetic Concentration Using the MIRUS System: A Comparison of Isoflurane, Sevoflurane and Desflurane in Anesthesia.;2015-01-06;2014-09-30;;2014-12-31;Actual;Thomas Weber, PhD;Ruhr-Universtiy of Bochum, Germany;Desflurane | Sevoflurane | Isoflurane;Completed;N/A;63;Actual;FALSE
NCT02341898;Schleswig-Holstein;Implementation of a Multicomponent Intervention to Prevent Physical Restraints in Nursing Home Residents (IMPRINT);Implementation of a Multicomponent Intervention to Prevent Physical Restraints in Nursing Home Residents: a Cluster-randomized Controlled Trial;2014-12-16;2015-03-31;;2017-03-31;Actual;Sascha Köpke, Prof. Dr.;University of Lübeck;Educational programme for all nurses | Training and structured support for nominated key nurses | Facultative train-the-trainer module for key nurses | Printed study material | Supportive material (poster, mugs etc.);Completed;N/A;10800;Actual;FALSE
NCT02340299;Charite;Nasal HFOV Versus Nasal CPAP to Reduce Post-extubation pCO2;Nasal High Frequency Oscillation Ventilation Versus Nasal Continuous Positive Airway Pressure to Reduce Post-extubation pCO2 in Very Low Birth Weight Infants: a Randomized Controlled Trial;2015-01-10;2015-01-01;Actual;2017-12-31;Actual;Christoph Czernik, MD PhD;Charite University, Berlin, Germany;nHFOV | nCPAP;Terminated;N/A;6;Actual;FALSE
NCT02339597;Charite;Therapy Adherence of APAP Therapy Initiation in Sleep-lab Versus at Home;Therapy Adherence in Different Settings of Automatic Positive Airway Pressure (APAP) Therapy Initiation in Patients With Obstructive Sleep Apnea (OSA): Comparison Between in Sleep-lab vs. at Home Environment.;2014-01-27;2014-01-31;;2015-11-30;Anticipated;;;Automatic Positive Airway Pressure (APAP) initiation;Unknown status;N/A;224;Anticipated;FALSE
NCT02338388;Charite;Cesarean-scar Thickness and Closure Technique;Longitudinal Transvaginal Ultrasound Evaluation of Cesarean-scar Thickness in the First Two Years After Single- or Double-layer Uterotomy Closure: a Prospective Randomized Study;2015-01-12;2012-01-31;;2014-08-31;Actual;;;cesarean section technique;Completed;N/A;435;Actual;FALSE
NCT02337400;Munich;Evaluation of a Cognitive Behavioral Smoking Reduction Program;Das Verhaltenstherapeutische Therapiemanual Smoke_less Zur Reduktion Des Tabakkonsums: Eine Evaluationsstudie Mit Ambulanten Patienten;2015-01-09;2015-01-31;;2016-04-30;Actual;;;Cognitive behavioral smoking reduction program Smoke_less | 15 minute counseling interview;Completed;N/A;155;Actual;FALSE
NCT02337062;Würzburg;Phase IIIb Study of APD421 in Combination as PONV Prophylaxis;Randomised, Double-blind, Placebo-controlled Phase III Study of APD421 (Amisulpride for IV Injection) as Combination Prophylaxis Against Post-operative Nausea and Vomiting in High-risk Patients;2015-01-09;2015-02-28;;2015-09-30;Actual;Peter Kranke, MD;Würzburg University Hospitals;APD421 | Placebo;Completed;Phase 3;1147;Actual;TRUE
NCT02336334;Tübingen;Evaluation of Posturing-Adherence in Patients After Intraocular Surgery;Measurement and Logging of Posturing Adherence of Patients After Intraocular Surgery With Gasendotamponades Using a Sensorsystem With Different Feedback-Methods;2014-12-08;2014-10-31;;2016-07-31;Actual;;;Positioning measurement | Patient feedback | Usefulness of a sketch | Closure rate of macular holes;Completed;N/A;48;Actual;FALSE
NCT02336321;Tübingen;Daily-life Brain Control Of A Hand Exoskeleton After Cervical Spinal Cord Injury;Restoration of Daily-life Hand Function Using a Brain/Neural-Computer Interaction (BNCI) System in Paralysis After Cervical Spinal Cord Injury;2014-12-19;2014-04-30;;2015-05-31;Actual;;;BNCI controlled hand exoskeleton;Completed;Phase 1;6;Actual;FALSE
NCT02334813;Duisburg;Daily Prednisone Versus Pulsed Dexamethasone in Treatment-naïve Adult Patients With Immune Thrombocytopenia;A Randomized Trial of Daily Prednisone Versus Pulsed Dexamethasone in Treatment-naïve Adult Patients With Immune Thrombocytopenia;2015-01-06;2002-07-31;;2015-01-31;Actual;Ulrich Dührsen, MD;University Hospital, Essen;Prednisone | Dexamethasone;Completed;Phase 3;26;Actual;TRUE
NCT02330471;Bochum;Forced Versus Spray Coagulation in Women Undergoing LLETZ-conization for Cervical Dysplasia: a Randomized Trial;Forced Versus Spray Coagulation in Women Undergoing LLETZ-conization for Cervical Dysplasia: a Randomized Trial;2014-12-27;2014-01-31;;2015-03-31;Actual;Clemens B Tempfer, MD;Ruhr University Bochum;Spray | Forced;Completed;Phase 3;160;Actual;FALSE
NCT02329912;Bonn;Postoperative Ileus: Duration and Severity Assessment With the SmartPill®;The SmartPill® as an Objective Parameter to Evaluate Severity and Duration of Postoperative Ileus;2014-12-01;2014-12-31;;2016-12-31;Anticipated;Tim O. Vilz, MD;Department of Surgery, University of Bonn;SmartPill;Unknown status;N/A;55;Anticipated;FALSE
NCT02329067;Munich;The Metabolic Effect of Walnuts in Healthy Subjects;The Metabolic Effect of Walnut Consumption in Healthy Men and Healthy Postmenopausal Women Substituting Walnuts for Different Food Components;2014-12-29;2014-12-31;;2017-07-31;Actual;Klaus G Parhofer, MD;Ludwig-Maximilians - University of Munich;walnuts;Completed;N/A;180;Actual;FALSE
NCT02325440;Münster;Study to Assess Immune Function and MRI Disease Activity in RRMS Patients When Switching From Natalizumab to Gilenya;A 32-week, Monocentric, Exploratory, Single Arm Study to Assess Immune Function and MRI Disease Activity in Patients With RRMS Transferred From Previous Treatment With Natalizumab to Gilenya® (Fingolimod);2014-09-04;2014-03-31;;2016-04-30;Anticipated;Luisa Klotz, PD. Dr. med.;Universitätsklinikum Muenster, Germany;Fingolimod | Natalizumab;Unknown status;Phase 4;15;Anticipated;FALSE
NCT02322502;Aachen;Emergence Times and Airway Reactions in General Laryngeal Mask Airway Anesthesia;Emergence Times and Airway Reactions in General Laryngeal Mask Airway Anesthesia: a Randomized Multicenter Controlled Trial (ACC Baxter);2014-12-12;2015-02-28;;2016-02-29;Actual;Mark Coburn, Prof.;University Hospital, Aachen;Desflurane | Sevoflurane | propofol;Completed;Phase 3;352;Actual;FALSE
NCT02321813;Regensburg;Direct Improvement of Quality of Life Using a Tailored Pathway With Quality of Life Diagnosis and Therapy: Randomised Trial in Colorectal Cancer Patients;Direct Improvement of Quality of Life Using a Tailored Pathway With Quality of Life Diagnosis and Therapy: Protocol of a Randomised Clinical Trial in Colorectal Cancer Patients;2014-12-11;2014-01-31;;2017-06-30;Actual;Monika Klinkhammer-Schalke, MD, Ass. Prof.;Tumor Center Regensburg e.V., An-Institute of the University of Regensburg, Germany;quality of life pathway | placebo control;Completed;N/A;220;Actual;FALSE
NCT02320851;Munich;Tailored Care for Somatoform Vertigo/Dizziness;Tailored Care for Somatoform Vertigo/Dizziness - From Diagnostics to Therapy;2014-12-16;2015-01-31;;2017-10-31;Anticipated;Claas Lahmann, PD Dr. med.;Department of Psychosomatic Medicine and Psychotherapy, Klinikum rechts der Isar, Technische Universitaet, Munich;SVD-tailored Integrative Psychotherapy (IPT) | Self-help group (SHG);Unknown status;N/A;216;Anticipated;FALSE
NCT02318810;Rostock;Influence of the Neuromuscular Blockade on Mask Ventilation;"The Influence of the Neuromuscular Blockade on Mask Ventilation; a Placebo Controlled, Randomized Trial With Three Different Dosages of Rocuronium (0.3 mg/kg, 0.6 mg/kg and 0.9 mg/kg)";2014-12-12;2015-03-31;;2016-05-31;Actual;Thomas Mencke, Prof.;University of Rostock;Rocuronium 0.3 mg/kg | Rocuronium 0.6 mg/kg | Rocuronium 0.9 mg/kg | Placebo;Completed;N/A;300;Actual;FALSE
NCT02316132;Schleswig-Holstein;Confocal Laser Endomicroscopy, IBS and Stress;Confocal Endomicroscopy for the Detection of Food Intolerances in Patients With IBS: Add on Control Group: Does Stress Cause Similar Mucosal Changes to Food Antigens?;2014-12-05;2014-12-31;;2016-06-30;Anticipated;Annette Fritscher-Ravens, MD, PhD;University of Schleswig-Holstein;Stress | Control;Unknown status;N/A;30;Anticipated;FALSE
NCT02315300;Aachen;Predicting Hypoglycaemia and Arrhythmias in the Vulnerable Patient With Diabetes and Chronic Kidney Disease;Predicting Hypoglycaemia and Arrhythmias in the Vulnerable Patient With Diabetes and Chronic Kidney Disease;2014-12-01;2014-11-30;;2016-05-31;Actual;Nikolaus Marx, Prof.;Uniklinik RWTH Aachen;medilog® DARWIN FD12 | Continuous Glucose Monitoring;Completed;N/A;62;Actual;FALSE
NCT02314572;Charite;Visual Acuity After the Combined Binocular Implantation of +2.5 Diopters and +3.0 Diopters ReSTOR Multifocal Intraocular Lenses.;Evaluation of the Visual Acuity After the Implantation of a ReSTOR +2.5 Diopters Intraocular Lens (ReSTOR SV25T0) in the Distance Dominant Eye, in Combination With a +3.0 Diopters ReSTOR Intraocular Lens (ReSTOR SN6AD1) in the Fellow Eye.;2014-12-08;2013-03-31;;2015-06-30;Actual;;;Binocular cataract surgery with phacoemulsification and implantation of multifocal intraocular lenses;Completed;Phase 4;15;Actual;FALSE
NCT02313493;Bochum;Efficacy and Feasibility of Baby Triple P - a Pilot Study;Improving Mental Health in First Time Parents - A Randomized Controlled Pilot Study;2014-12-07;2012-09-30;;2015-11-30;Anticipated;;;Baby Triple P;Unknown status;N/A;78;Anticipated;FALSE
NCT02312674;Tübingen;Prevention of Cancer-associated Malnutrition Through Oral Nutritional Supplements;Prevention of Malnutrition Through Oral Nutritional Supplements in Cancer Patients Receiving Palliative Therapy;2014-11-07;2015-01-31;;2016-01-31;Anticipated;"Michael Bitzer, MD; Prof.";Department of Hepatology, Gastroenterology, Infectious Diseases, University Hospital Tübingen;Oral nutritional supplement;Unknown status;N/A;80;Anticipated;FALSE
NCT02312505;Schleswig-Holstein;Comparison of a New Semi-invasive Monitoring System With Transpulmonary Thermodilution in Cardiac Surgery Patients;Estimation of Cardiac Output by a New Semi-invasive Monitoring System: Accuracy and Limitations;2012-12-03;2012-03-31;;2014-12-31;Actual;Berthold Bein, Professor;University Schleswig-Holstein, Campus Kiel, Germany;COPFX;Completed;N/A;65;Actual;FALSE
NCT02312479;Mannheim;Safety and Performance Study of the Nyxoah SAT System for Treating OSA;Safety and Performance Study of the Use of the Nyxoah SAT System for the Treatment of Obstructive Sleep Apnea;2014-12-04;2014-12-31;;2016-04-30;Actual;Joachim T Maurer, OA Dr. med.;Universitäts-HNO-Klinik Mannheim;Nyxoah SAT system;Terminated;N/A;6;Actual;FALSE
NCT02309918;Hannover;HepNet Acute HCV IV - LDV/SOF FDC in Acute Genotype 1 Hepatitis C Virus Infection;Interferon-free Treatment of Acute Genotype 1 Hepatitis C Virus Infection With Ledipasvir/Sofosbuvir Fixed-Dose Combination - The HepNet Acute HCV IV Study;2014-11-04;2014-11-30;;2016-08-31;Actual;Michael P. Manns, Prof. Dr.;MHH, Klinik für Gastroenterologie, Hepatologie und Endokrinologie, Carl-Neuberg-Str. 1, 30625 Hannover, Germany;LDV/SOF FDC;Completed;Phase 2;20;Actual;FALSE
NCT02308813;Tübingen;Predictability of the Ability to Perform an Emergency Stop With Disorders of the Hip;Predictability of Braking Performance in Patients With Degenerative Disease of the Hip Joint or With Total Hip Arthroplasty;2014-10-27;2014-10-31;;2015-06-30;Actual;Ulf K Hofmann, MD;University Hospital Tuebingen;Braking and functionality;Completed;N/A;100;Actual;FALSE
NCT02307396;Munich;Evaluation of the Necessity of Long-term Pharmacological Treatment With Antipsychotics in Schizophrenic Patients;Evaluation of the Necessity of Long-term Pharmacological Treatment With Antipsychotics for the Prevention of Relapse in Long-term Stabilized Schizophrenic Patients: a Randomized, Single-blind, Longitudinal Trial;2014-11-24;2015-02-01;Actual;2016-06-22;Actual;;;Perphenazine | Sulpiride | bromperidol | Zuclopenthixol | Thioridazine | Paliperidone | Ziprasidone | Benperidol | Fluspirilene | Pimozide | Perazine | Fluphenazine | Flupentixole | Sertindole | Olanzapine | Amisulpride | Risperidone | Haloperidol | Quetiapine;Completed;Phase 4;21;Actual;FALSE
NCT02306447;Regensburg;Combined Transcranial and Peripheral Muscle Magnetic Stimulation in Chronic Tinnitus;Combined Transcranial and Peripheral Muscle Magnetic Stimulation in Chronic Tinnitus;2014-12-01;2014-08-31;;2016-04-30;Actual;Berthold Langguth, MD, PhD;Department of Psychiatry, University of Regensburg, Germany;rPMS and rTMS;Completed;N/A;54;Actual;FALSE
NCT02304965;Hannover;Activity at Pulse Pressure Above an Individual Threshold in Patients With LVAD;Daily Physical Activity at Pulse Pressure Above an Individual Threshold in Patients With Continuous Flow Left Ventricular Assist Devices - a Feasibility Study;2014-11-21;2014-11-30;;2015-09-30;Actual;Sven Haufe, Dr.;Hannover Medical School;Daily physical activity;Completed;N/A;7;Actual;FALSE
NCT02304081;Mainz;Saxagliptin in Combination With Dapagliflozin - Effects on Islet Cell Function;Effect of Saxagliptin in Addition to Dapagliflozin and Metformin on Insulin Resistance, Islet Cell Dysfunction, and Metabolic Control in Subjects With Type 2 Diabetes Mellitus on Previous Metformin Treatment;2014-11-11;2015-01-31;;2016-08-31;Actual;Thomas Forst, Prof. Dr.;Profil Mainz GmbH & Co KG, Rheinstraße 4c, 55116 Mainz;Saxagliptin | Placebo for Saxagliptin;Completed;Phase 4;64;Actual;FALSE
NCT02300337;Mainz;Comparison of Reduced Cuff-pressure of the Laryngeal Tube Under General Anesthesia;Comparative Study of the Tightness of the Laryngeal Tube Under Mechanical Ventilation Before and After Reduction of Cuff Pressure on 60cmH₂O, 50cmH₂O, 40cmH₂O or 30cmH₂O;2014-11-20;2014-11-30;;2015-01-31;Actual;Rüdiger Noppens, MD;University JG, Mainz;Reduce Cuff pressure;Completed;N/A;60;Actual;FALSE
NCT02299089;Charite;Phase II Study of Subcutaneous Inj. Depot of Octreotide in Patients With Acromegaly and Neuroendocrine Tumours (NETs);A Phase II, Open-label, Multicentre, Randomised Study of the Pharmacokinetics, Pharmacodynamics, Efficacy, and Safety of CAM2029 in Patients With Acromegaly and Neuroendocrine Tumours (NETs) Previously Treated With Sandostatin® LAR®;2014-11-17;2015-01-31;;2016-06-30;Actual;Marianne Pavel, Professor;Charité Campus Virchow Klinikum, Berlin, Germany;octreotide FluidCrystal® injection depot;Completed;Phase 2;12;Actual;TRUE
NCT02297334;Hamburg;Removal of Cytokines During Extracorporeal Circulation in Cardiac Surgery;Reduction of Inflammation Reaction to Extracorporeal Circulation in Cardiac Surgery by Interleukin Dialysis;2014-10-08;2013-09-30;;2017-08-31;Actual;Jens C. Kubitz, MD PhD;Department of Anaesthesiology Center of Anaesthesiology and Intensive Care Medicine University Medical Center Hamburg-Eppendorf University of Hamburg;CytoSorb device;Completed;N/A;40;Actual;FALSE
NCT02296372;Charite;Accuracy, Feasibility and Acceptance of Continuous Glucose Monitoring in Critically Ill Patients;Pilot Observation of Continuous Glucose Monitoring in Critically Ill Patients Under Consideration of Accuracy, Feasibility and Acceptance by Ward Staff;2014-11-04;2014-11-30;;2016-06-30;Actual;Steffen Weber-Carstens, MD;Charite University, Berlin, Germany;Continuous glucose monitoring;Completed;N/A;20;Actual;FALSE
NCT02295462;Halle;Effect of Person-Centred-Care on Antipsychotic Drug Use in Nursing Homes: a Cluster-randomised Trial;Effect of Person-Centred-Care on Antipsychotic Drug Use in Nursing Homes: a Cluster-randomised Trial;2014-11-12;2014-12-31;;2017-02-28;Actual;Gabriele Meyer, Prof. Dr.;Martin-Luther-Universität Halle-Wittenberg;Person-centered Care | Optimised Treatment;Completed;N/A;1158;Actual;FALSE
NCT02293746;Mannheim Munich;Inspire® Upper Airway Stimulation (UAS) System German Post-Market Study;Inspire® Upper Airway Stimulation (UAS) System German Post-Market Study: CE Certificate Number 562872;2014-11-12;2014-06-30;Actual;2017-01-09;Actual;Clemens Heiser, Dr. med.;Klinikum rechts der Isar der Technischen Universität München;Inspire® Upper Airway Stimulation (UAS) System;Completed;Phase 4;60;Actual;FALSE
NCT02291562;Mannheim;Effects of THC and CBD on Human Episodic Memory Function;Effects of D-9-Tetrahydrocannabinol (THC) and Cannabidiol (CBD) on Human Episodic Memory Function;2014-11-11;2014-07-31;;2014-12-31;Actual;;;Tetrahydrocannabinol | Cannabidiol | placebo;Completed;N/A;20;Actual;FALSE
NCT02291536;Mannheim;Processing of Salient Emotional Stimuli as a Function of Tetrahydrocannabinol (THC) and Cannabidiol (CBD);Processing of Salient Emotional Stimuli as a Function of Tetrahydrocannabinol (THC) and Cannabidiol (CBD);2014-11-11;2014-02-28;;2014-12-31;Actual;Oliver Grimm, MD;Central Institute of Mental Health, Mannheim;tetrahydrocannabinol | cannabidiol | placebo;Completed;N/A;20;Actual;FALSE
NCT02290613;Heidelberg;Early Treatment of Borderline Pulmonary Arterial Hypertension Associated With Systemic Sclerosis (SSc-APAH);Early Treatment of Borderline Pulmonary Arterial Hypertension Associated With Systemic Sclerosis (SSc-APAH) A Randomized, Controlled, Double-blind, Parallel Group, Proof-of-concept Trial EDITA;2014-10-31;2014-07-01;Actual;2017-12-31;Actual;Ekkehard Grünig, MD;Thoraxclinic at the University of Heidelberg;Ambrisentan | Placebo;Completed;Phase 2;38;Actual;TRUE
NCT02290067;Ulm;System Accuracy and User Performance of Blood Glucose Monitoring Systems for Self-Testing in Managing Diabetes Mellitus;EVALUATING SYSTEM ACCURACY AND USER PERFORMANCE OF BLOOD GLUCOSE MONITORING SYSTEMS FOR SELF-TESTING IN MANAGING DIABETES MELLITUS;2014-10-22;2014-10-31;;2014-11-30;Actual;Nina Jendrike, Dr. med.;Institut für Diabetes-Technologie Forschungs- und Entwicklungsgesellschaft mbH an der Universität Ulm;Blood glucose monitoring system (Omnitest 3) | Blood glucose monitoring system (Omnitest 5) | Blood glucose monitoring system (Omnitest 5D);Completed;N/A;130;Anticipated;FALSE
NCT02284256;Frankfurt;A Safety and Efficacy Study Comparing Fibrocaps and Tachosil in Hepatic Surgery;A Phase 3b, Randomized, Single-Blind, Controlled, Comparative Efficacy and Safety Study of Topical FibrocapsTM (RaplixaTM) and Tachosil® in Surgical Hemostasis During Hepatic Resection;2014-11-03;2014-11-30;;2015-08-31;Actual;Wolf Bechstein, MD;J.W.Goethe-Universität;Fibrocaps | TachoSil;Completed;Phase 3;150;Actual;FALSE
NCT02283099;Hamburg;Phase I Trial to Assess the Safety, Tolerability and Immunogenicity of a Ebola Virus Vaccine (rVSVΔG-ZEBOV-GP);An Open Label, Single Center, Dose Escalation Phase I Trial to Assess the Safety, Tolerability and Immunogenicity of a Single Ascending Dose of the Ebola Virus Vaccine rVSVΔG-ZEBOV-GP (BPSC1001);2014-10-31;2014-11-30;;2015-11-30;Actual;Marylyn M. Addo, MD;Universitätsklinikum Hamburg-Eppendorf;rVSVΔ-ZEBOV-GP;Completed;Phase 1;30;Actual;FALSE
NCT02280226;Bonn;Evaluating the Influence of Apnea on Cardiac Function Using Cardiac Magnetic Resonance Imaging.;Evaluating the Influence of Apnea on Heart Function With Strain Analysis and Measurement of Fibrosis Derived From T1-mapping Using Cardiac Magnetic Resonance Imaging (MRI).;2014-10-29;2014-04-30;;2016-07-31;Actual;;;magnetic resonance imaging (MRI);Completed;N/A;17;Actual;TRUE
NCT02277977;Freiburg;Evaluation of Impaired Microcirculation During Septic Shock With Contrast Enhanced Ultrasound;Messung Von Mikrozirkulationsstörungen im Septischen Schock Mit Kontrastmittel- verstärkter Sonographie Evaluation of Impaired Microcirculation During Septic Shock With Contrast Enhanced Ultrasound;2014-10-27;2014-11-30;;2015-12-31;Anticipated;Daniel Duerschmied, MD, PHD;University of Freiburg;Contrast enhanced ultrasound;Unknown status;N/A;24;Anticipated;FALSE
NCT02276469;Hamburg;Peer Support for Severe Mental Disorders;Randomized Controlled Trial of Peer to Peer Support for People With Severe Mental Disorders: Schizophrenia, Affective Disorders and Personality Disorders in Comparison to Standard Care;2014-10-09;2011-07-31;;2014-12-31;Actual;Thomas Bock, Prof. Dr.;University Medical Center Hamburg-Eppendorf (UKE);peer support;Completed;N/A;200;Actual;FALSE
NCT02275884;Dresden;Pharmacologically Active Constituents of Chocolate and Their Symptomatic Effects in Patients With Idiopathic Parkinson's Disease;Evaluation of Plasma Concentrations of Pharmacologically Active Constituents of Chocolate and Their Symptomatic Effects in Patients With Idiopathic Parkinson's Disease;2014-10-17;2013-06-30;;2015-06-30;Anticipated;Matthias Löhle, MD;Department of Neurology, Dresden University of Technology;Dark chocolate (85% cocoa) | White chocolate (0% cocoa);Unknown status;N/A;30;Anticipated;FALSE
NCT02273141;Schleswig-Holstein;Multicenter Randomized Parallel Group Phase III Study Comparing the Bowel Cleansing Efficacy, Safety and Tolerability of NER1006 Versus a Sodium Picosulfate and Magnesium Salt Solution Using Day Before-Only Dosing Regimen in Adults.;A Multicenter Randomized Parallel Group Phase III Study Comparing the Bowel Cleansing Efficacy, Safety and Tolerability of NER1006 (a Low Volume Bowel Cleansing Solution) Versus Sodium Picosulfate and Magnesium Salt (SP+MS) Solution Using Day Before-Only Dosing Regimen in Adults.;2014-10-16;2014-11-30;;2015-08-31;Actual;Stefan Schreiber;University of Schleswig-Holstein;NER1006, Day Before-Only Dosing | SP+MS, Day Before-Only Dosing;Completed;Phase 3;515;Actual;TRUE
NCT02272036;Munich;Short Message Service in Colonoscopy Preparation (PERICLES-II-SMS);Improvement of Colonoscopy Preparation by New Media (SMS) (PERICLES-II-Study);2014-10-20;2015-12-31;;2017-04-30;Actual;;;Colonoscopy | mobile phone;Completed;N/A;500;Actual;FALSE
NCT02270853;Aachen;SAS in Patients With Bronchial Carcinoma;Incidence of Sleep Apnea Syndrome (SAS) in Patients With Bronchial Carcinoma;2014-10-14;2014-04-30;;2016-12-31;Anticipated;Michael Dreher, Univ.-Prof.;RWTH Aachen University Hospital;sleep apnea screening with ApneaLinkTM;Unknown status;N/A;100;Anticipated;FALSE
NCT02262949;Freiburg;A Prospective Study of the Bard® LifeStent® Solo Vascular Stent System;A Prospective Study of the Bard® LifeStent® Solo Vascular Stent System (REALITY2);2014-09-25;2014-09-30;;2016-07-31;Actual;Thomas Zeller, Prof. Dr.;University Heart Centre Freiburg, Bad Krozingen;LifeStent Vascular Stent;Completed;N/A;31;Actual;FALSE
NCT02262442;Aachen;Effect of the Topical Application of Anaesthetics With EnkFiberoptic Atomizer During the Bronchoscopy;Effect of the Topical Application of Anaesthetics With EnkFiberoptic Atomizer on Usage of Anaesthetics and Sedatives During the Bronchoscopy;2014-10-07;2014-10-31;;2016-08-31;Anticipated;Tobias Müller, Dr. med.;Department of Cardiology, Pneumology, Vascular Medicine and Intensive Care Medicine, RWTH Aachen University Hospital;Enk Fiberoptic Atomizer | bronchoscope;Unknown status;Phase 4;60;Anticipated;FALSE
NCT02261779;Halle;Phase I/II Trial of ATRA and TCP in Patients With Relapsed or Refractory AML and no Intensive Treatment is Possible;Phase I/II Pilot Trial of ATRA (Tretinoin) and TCP (Tranylcypromine) in Patients With Relapsed or Refractory Acute Myeloid Leukemia (AML) and no Intensive Treatment is Possible;2014-09-23;2014-09-30;;2017-09-30;Anticipated;Carsten Mueller-Tidow, Prof.;Martin-Luther-Universität Halle-Wittenberg;Tranylcypromine | Tretinoin;Unknown status;Phase 1/Phase 2;16;Anticipated;FALSE
NCT02260115;Tübingen;A Randomized Multi-centre Study to Assess the Safety and Manageability of a Laparoscopic Adhesion Barrier in Women Undergoing Gynecologic Laparoscopic Surgery Followed by Second Look Laparoscopy;A Randomized, Controlled, Subject and Reviewer-Blinded, Multi-Centre Study To Assess The Safety and Manageability Of LABS™ In Women Undergoing Gynaecologic Laparoscopic Surgery Followed By Second Look Laparoscopy;2014-10-01;2013-11-30;Actual;2016-07-31;Actual;Sara Y Brucker, MD, PhD;Deputy Head of Department of Gynecology and Obstetrics, University of Tubingen Women's Hospital;LABS™ | Surgical Control;Completed;Phase 1;78;Actual;FALSE
NCT02258815;Tübingen;CH14.18 1021 Antibody and IL2 After Haplo SCT in Children With Relapsed Neuroblastoma;Phase II Feasability Study Using ch14.18/CHO Antibody and Subcutaneous Interleukin 2 After Haploidentical Stem Cell Transplantation in Children With Relapsed Neuroblastoma;2013-08-07;2010-08-31;;2015-12-31;Anticipated;Peter Lang, MD, PhD;University Hospital Tuebingen;ch14.18/CHO;Unknown status;Phase 2;35;Anticipated;FALSE
NCT02253771;Münster;Shockwave Therapy for Acute Low Back Pain;Shockwave Therapy for Acute Low Back Pain: a Randomized Placebo-controlled Clinical Trial;2014-08-31;2014-08-31;;2015-12-31;Anticipated;Niklas Deventer, Dr. med.;Universitätsklinikum Münster, Klinik für Allgemeine Orthopädie und Tumororthopädie;shockwave therapy;Unknown status;N/A;60;Anticipated;FALSE
NCT02253563;Schleswig-Holstein;Resistance Versus Balance Training in Parkinson's Disease;Resistance Training Versus Balance Training to Improve Postural Control in Patients With Parkinson's Disease - a Randomized Controlled Rater Blinded Trial;2014-09-24;2011-06-30;;2014-02-28;Actual;;;Resistance Training | Balance Training;Completed;N/A;40;Actual;FALSE
NCT02253056;Charite;Monday is Fasting Day - Non-Randomized Trial on Intermittent Fasting;Montag Ist Fasten-Tag (German) - MIFT [Monday is Fasting Day];2014-09-19;2014-09-30;;2015-03-31;Actual;Andreas Michalsen, MD;Charité Medical University;Fasting / Caloric Restriction | Healthy Diet;Completed;N/A;36;Actual;FALSE
NCT02252575;Munich;Assessment of Electromagnetic Interference Between E-transportation and Cardiac Implantable Electronic Devices;Assessment of Electromagnetic Interference Between E-transportation and Cardiac Implantable Electronic Devices;2014-09-26;2014-09-30;Actual;2017-10-31;Actual;Christof Kolb, MD;Deutsches Herzzentrum München;Electromagnetic field;Completed;N/A;107;Actual;FALSE
NCT02251535;Charite;In-vivo Comparison of Different Levels of Femoral Rollback in a Primary Total Knee Arthroplasty;Retrospective Non-randomized In-vivo Comparison of Different Levels of Femoral Rollback in the ATTUNE Total Knee Arthroplasiy System on the Basis of Fluoroscopic and Marker-based Motion Capture Evaluation.;2014-09-23;2014-07-31;;2015-09-30;Anticipated;;;ATTUNE® Knee System | PFC® SIGMA® Knee System;Unknown status;N/A;30;Anticipated;FALSE
NCT02251470;Halle;Home-based Balance Training Using Wii Fit After Stroke: A Feasibility Study;The Application of a Video-game System (Nintendo Wii®) as an Independent Exercise Program to Improve Mobility After Stroke - a Randomized Phase II Trial;2014-09-25;2014-10-31;;2015-08-31;Actual;;;HBE Wii (EG) | HBE Control (CG);Completed;Phase 1/Phase 2;14;Actual;FALSE
NCT02248922;Erlangen;Evaluation of Lung Clearance Index in Cystic Fibrosis (CF) Patients, Infected With P.Aeruginosa;An 8 Week Open-label Interventional Multicenter Study to Evaluate the Lung Clearance Index as Endpoint for Clinical Trials in Cystic Fibrosis Patients ≥ 6 Years of Age, Chronically Infected With Pseudomonas Aeruginosa;2014-09-22;2015-01-27;Actual;2017-04-10;Actual;Jörg Ziegler, PhD;Novartis Pharma GmbH, Nürnberg, Germany;TIS or TIP;Terminated;Phase 4;17;Actual;TRUE
NCT02247778;Munich;Surgical Innovations in Treatment of Clavicle Fractures;Outcome of Mini-incision-technique for Treatment of Midshaft Fractures of the Clavicle;2014-09-21;2014-04-30;;2015-09-30;Anticipated;Chlodwig Kirchhoff, MD;Klinik und Poliklinik für Unfallchirurgie, Klinikum rechts der Isar, Technische Universität München;conventional plate osteosynthesis | mini-incision-type osteosynthesis;Unknown status;N/A;40;Anticipated;FALSE
